YearStart,LocationAbbr,Datasource,Class,Data_Value,Low_Confidence_Limit,High_Confidence_Limit ,Sample_Size,Age(years),Education,Gender,Income
2018,AK,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36,28.6,44.1,292,,,,"$15,000 - $24,999"
2018,TX,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,22.3,11.1,39.8,104,,,,
2018,KY,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,27.7,21.6,34.7,861,,,,
2018,TN,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,MD,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,30,27.1,33,2136,,,,"$50,000 - $74,999"
2018,OH,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.4,31.8,41.3,1041,,,,"Less than $15,000"
2018,CT,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,32.7,26.7,39.3,420,,,,"Less than $15,000"
2018,GA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,17.5,9.9,29.1,84,,,,
2018,IN,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,11.5,4.9,24.5,54,,,,
2018,MS,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,NJ,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,28.8,20.2,39.3,250,,,,"$35,000 - $49,999"
2018,RI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,26.6,24.1,29.3,1874,65 or older,,,
2018,IN,Behavioral Risk Factor Surveillance System,Physical Activity,29.8,25.5,34.5,583,,,,
2018,MO,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,29.8,25.8,34.2,1087,,,,Data not reported
2018,ME,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.3,33.8,36.8,10224,,,,
2018,OR,Behavioral Risk Factor Surveillance System,Physical Activity,20.3,12.7,30.9,202,,,,
2018,FL,Behavioral Risk Factor Surveillance System,Physical Activity,,,,,,,,
2018,MD,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,30.8,26.1,36,564,,,,
2018,NC,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,CO,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,28.4,26.7,30,4114,,,Female,
2018,ID,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,23.1,20,26.5,1218,,College graduate,,
2018,AZ,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,30.4,25.9,35.3,777,35 - 44,,,
2018,NJ,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,41.8,34.6,49.3,457,45 - 54,,,
2018,WA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,34.3,30.1,38.6,956,,,,"$25,000 - $34,999"
2018,TN,Behavioral Risk Factor Surveillance System,Physical Activity,,,,,,,,
2018,NV,Behavioral Risk Factor Surveillance System,Physical Activity,27.2,21.8,33.2,501,45 - 54,,,
2018,RI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,34.1,21.1,50,78,,,,
2018,NJ,Behavioral Risk Factor Surveillance System,Physical Activity,29,23.1,35.7,560,,,,Data not reported
2018,WI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.9,33,38.9,1635,,College graduate,,
2018,TX,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,54.1,34.5,72.5,104,,,,
2018,IL,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.7,32.6,41,700,,,,
2018,MA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,30.3,17.3,47.4,53,,,,
2018,FL,Behavioral Risk Factor Surveillance System,Physical Activity,27.3,23.5,31.4,2222,45 - 54,,,
2018,MD,Behavioral Risk Factor Surveillance System,Physical Activity,20.4,17.6,23.4,1288,25 - 34,,,
2018,NY,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,31,28.9,33.1,6866,55 - 64,,,
2018,OH,Behavioral Risk Factor Surveillance System,Physical Activity,12.8,11.3,14.4,3762,,College graduate,,
2018,CT,Behavioral Risk Factor Surveillance System,Physical Activity,15.8,12.1,20.2,443,18 - 24,,,
2018,NY,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,23.3,20.6,26.1,1982,18 - 24,,,
2018,GA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,12.2,7.6,18.8,166,,,,
2018,HI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,33.7,30.4,37.2,1183,45 - 54,,,
2018,NJ,Behavioral Risk Factor Surveillance System,Physical Activity,43.7,33.2,54.8,193,,Less than high school,,
2018,FL,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.2,33.4,39.1,4165,,Some college or technical school,,
2018,KY,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,33.2,29.9,36.7,1810,,,,"$75,000 or greater"
2018,VT,Behavioral Risk Factor Surveillance System,Physical Activity,18.6,17.3,20,6026,,,,
2018,NV,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,33.6,26.3,41.7,254,,Less than high school,,
2018,MT,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,UT,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,25,22,28.3,977,18 - 24,,,
2018,OR,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,32.5,29.6,35.6,1290,,High school graduate,,
2018,KS,Behavioral Risk Factor Surveillance System,Physical Activity,11.8,10.7,12.9,4152,,College graduate,,
2018,FL,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,38,32.5,43.7,1455,,,,"$25,000 - $34,999"
2018,NC,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,39.7,34.6,45,513,,,,"$35,000 - $49,999"
2018,NJ,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,NY,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,29.4,17.3,45.5,75,,,,
2018,NY,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,27.9,26.7,29.2,15565,,,Male,
2018,OR,Behavioral Risk Factor Surveillance System,Physical Activity,24.7,22,27.6,1404,,High school graduate,,
2018,NY,Behavioral Risk Factor Surveillance System,Physical Activity,13.7,12.5,14.9,9721,,,,"$75,000 or greater"
2018,IN,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.4,34.3,38.7,2765,65 or older,,,
2018,IN,Behavioral Risk Factor Surveillance System,Physical Activity,26.5,23.7,29.4,1195,45 - 54,,,
2018,OH,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,22.3,15.1,31.5,191,,,,
2018,ID,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,NC,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,29.4,27.3,31.6,2938,,,,
2018,CO,Behavioral Risk Factor Surveillance System,Physical Activity,21.2,18.8,23.8,1437,,,,Data not reported
2018,OH,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,24.4,20.2,29,616,18 - 24,,,
2018,NM,Behavioral Risk Factor Surveillance System,Physical Activity,,,,,,,,
2018,US,Behavioral Risk Factor Surveillance System,Physical Activity,24.2,24,24.5,430259,,,,
2018,NJ,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.3,24.5,50,140,,,,"Less than $15,000"
2018,SC,Behavioral Risk Factor Surveillance System,Physical Activity,32.3,29.2,35.5,2070,,,,Data not reported
2018,NE,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,34.7,31.8,37.9,1845,45 - 54,,,
2018,MO,Behavioral Risk Factor Surveillance System,Physical Activity,29.2,19.3,41.6,110,,,,
2018,KY,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,37.8,32.2,43.7,717,,Less than high school,,
2018,KY,Behavioral Risk Factor Surveillance System,Physical Activity,28.6,24.5,33,1018,,,,"$35,000 - $49,999"
2018,MA,Behavioral Risk Factor Surveillance System,Physical Activity,28,24.9,31.4,1384,,,,Data not reported
2018,DC,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,34.8,30.7,39.1,649,45 - 54,,,
2018,UT,Behavioral Risk Factor Surveillance System,Physical Activity,,,,,,,,
2018,IL,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,31.6,25.9,37.9,445,,,,"Less than $15,000"
2018,IL,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,23.6,18.9,29,388,18 - 24,,,
2018,AL,Behavioral Risk Factor Surveillance System,Physical Activity,24.7,20.6,29.2,609,25 - 34,,,
2018,FL,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.3,33.7,36.9,13804,,,,
2018,MO,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,25.2,20.1,31.2,476,,,,"Less than $15,000"
2018,IN,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,32.3,30.9,33.8,6885,,,,
2018,PA,Behavioral Risk Factor Surveillance System,Physical Activity,29.8,27.3,32.4,1863,,High school graduate,,
2018,AZ,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.1,30.5,40.1,1141,,,,"$15,000 - $24,999"
2018,AR,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,21.9,17.5,27.1,529,,,,"Less than $15,000"
2018,IN,Behavioral Risk Factor Surveillance System,Physical Activity,15.3,7.6,28.4,65,,,,
2018,RI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,26.9,22.6,31.8,581,35 - 44,,,
2018,GA,Behavioral Risk Factor Surveillance System,Physical Activity,29.3,27.7,30.9,5188,,,Female,
2018,MS,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,33.9,30.1,37.9,897,45 - 54,,,
2018,NV,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,34.9,27.5,43.1,287,,,,"$25,000 - $34,999"
2018,FL,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36,34.3,37.7,10321,,,,
2018,MA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,27.5,23.7,31.8,679,35 - 44,,,
2018,SD,Behavioral Risk Factor Surveillance System,Physical Activity,36.5,28.8,45,550,,,,"Less than $15,000"
2018,KY,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,27,16.1,41.7,130,,,,
2018,ND,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,29.2,17.8,44,64,,,,
2018,IA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,CO,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,23.3,15.5,33.6,118,,,,
2018,AZ,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,31.7,18.8,48.3,105,,,,
2018,ID,Behavioral Risk Factor Surveillance System,Physical Activity,23.5,20.3,27.1,993,,High school graduate,,
2018,NC,Behavioral Risk Factor Surveillance System,Physical Activity,12.4,10.6,14.3,1667,,College graduate,,
2018,AR,Behavioral Risk Factor Surveillance System,Physical Activity,27.2,22.4,32.5,433,35 - 44,,,
2018,MA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,29.4,26.1,32.8,989,45 - 54,,,
2018,SD,Behavioral Risk Factor Surveillance System,Physical Activity,,,,,,,,
2018,NY,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,31.4,28.9,34.1,2463,,,,
2018,KS,Behavioral Risk Factor Surveillance System,Physical Activity,26.7,24.6,28.9,2198,55 - 64,,,
2018,ND,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,38.1,31.5,45.3,438,,,,"$25,000 - $34,999"
2018,RI,Behavioral Risk Factor Surveillance System,Physical Activity,,,,,,,,
2018,MT,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,39.4,33.4,45.8,468,,,,"$25,000 - $34,999"
2018,ND,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,30.1,27.4,33,2608,,,Female,
2018,LA,Behavioral Risk Factor Surveillance System,Physical Activity,24.4,19.9,29.6,545,,,,"$35,000 - $49,999"
2018,GU,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,25.8,17.6,36.1,138,18 - 24,,,
2018,MO,Behavioral Risk Factor Surveillance System,Physical Activity,15.4,11.2,20.7,281,18 - 24,,,
2018,WA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,31.4,27.1,36.2,618,,Less than high school,,
2018,MD,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,30.9,29.8,32.1,16029,,,,
2018,ID,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,31.8,26.5,37.7,385,25 - 34,,,
2018,ND,Behavioral Risk Factor Surveillance System,Physical Activity,12.5,8.8,17.5,252,18 - 24,,,
2018,MI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,ME,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,40.7,38.8,42.5,4746,65 or older,,,
2018,WI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,42.1,19.6,68.4,125,,,,
2018,AL,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,32.3,29.4,35.2,1854,,High school graduate,,
2018,WI,Behavioral Risk Factor Surveillance System,Physical Activity,36.2,29,44.1,248,,Less than high school,,
2018,AK,Behavioral Risk Factor Surveillance System,Physical Activity,16,11,22.6,304,25 - 34,,,
2018,LA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,25.5,15.4,39.1,82,,,,
2018,DE,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,SD,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,32,25.3,39.5,662,,,,"$25,000 - $34,999"
2018,GU,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,21.8,15.3,29.9,195,,,,Data not reported
2018,VT,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,28,26.4,29.8,5572,,,,
2018,MI,Behavioral Risk Factor Surveillance System,Physical Activity,21.4,18.8,24.3,1241,35 - 44,,,
2018,MS,Behavioral Risk Factor Surveillance System,Physical Activity,36.7,34.6,38.8,3482,,,Female,
2018,OH,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.5,27.3,46.9,214,,,,
2018,UT,Behavioral Risk Factor Surveillance System,Physical Activity,31.6,28.1,35.4,923,,,,
2018,GA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.7,34.1,37.3,5064,,,,
2018,CO,Behavioral Risk Factor Surveillance System,Physical Activity,17.3,16,18.6,4574,,,Female,
2018,DE,Behavioral Risk Factor Surveillance System,Physical Activity,16.8,12.3,22.4,315,18 - 24,,,
2018,MN,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,38.3,36.8,39.8,5726,,,,"$75,000 or greater"
2018,PA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,34.4,31.6,37.3,1719,,High school graduate,,
2018,OK,Behavioral Risk Factor Surveillance System,Physical Activity,27.5,23.3,32.2,683,,,,"$35,000 - $49,999"
2018,NE,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,43.2,30.6,56.7,167,,,,
2018,UT,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,24.1,21.3,27.2,1384,,,,Data not reported
2018,VT,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,40,37.4,42.6,2820,,,Male,
2018,NH,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,27.1,24.3,30,1786,,,,"$75,000 or greater"
2018,US,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.2,35.4,37,60363,45 - 54,,,
2018,MS,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,46.3,42.4,50.4,897,45 - 54,,,
2018,PA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,38.9,26.5,53.1,75,,,,
2018,PR,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,18.8,14,24.7,317,18 - 24,,,
2018,MT,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,11.6,8.2,16.1,276,18 - 24,,,
2018,NC,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,40.6,37,44.2,1338,65 or older,,,
2018,CA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,20.9,19.2,22.6,3852,,,,"$75,000 or greater"
2018,NH,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,37.9,35.2,40.7,2276,,College graduate,,
2018,NH,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.8,34,37.7,4879,,,,
2018,WV,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,32.2,30.5,33.9,4292,,,,
2018,KY,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,31.3,28,34.9,1781,55 - 64,,,
2018,KS,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,41.7,37,46.5,644,,,,"Less than $15,000"
2018,WY,Behavioral Risk Factor Surveillance System,Physical Activity,26.9,20.8,33.9,242,,,,"Less than $15,000"
2018,TX,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,34.4,24.8,45.4,215,,,,
2018,DE,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,RI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,34.8,29.9,40.1,661,,,,"$15,000 - $24,999"
2018,HI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,21.8,18.4,25.7,868,,,,"$35,000 - $49,999"
2018,IN,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,33.3,19.3,51,62,,,,
2018,AL,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,40.8,25.9,57.6,87,,,,
2018,CT,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,24.2,21.2,27.4,1625,,,,Data not reported
2018,GA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.9,32.8,41.3,757,,Less than high school,,
2018,NC,Behavioral Risk Factor Surveillance System,Physical Activity,14.5,6.2,30.3,55,,,,
2018,ND,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,38.1,33.5,42.9,826,,,,"$50,000 - $74,999"
2018,US,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,32.7,31.7,33.6,46643,,,,"$35,000 - $49,999"
2018,WA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,26.7,25,28.5,3926,,,,"$75,000 or greater"
2018,AK,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,26.9,16.7,40.3,88,,,,
2018,WY,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,38,34.6,41.6,983,55 - 64,,,
2018,OK,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,32.9,25.7,40.9,252,,,,
2018,WV,Behavioral Risk Factor Surveillance System,Physical Activity,,,,,,,,
2018,IL,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.7,32.7,38.8,1276,,Some college or technical school,,
2018,WI,Behavioral Risk Factor Surveillance System,Physical Activity,27.4,22.8,32.6,654,,,,Data not reported
2018,DC,Behavioral Risk Factor Surveillance System,Physical Activity,28,25.3,30.8,1632,65 or older,,,
2018,WY,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,33.8,30.7,37,1369,,Some college or technical school,,
2018,NH,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.4,33.6,37.3,5235,,,,
2018,ID,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,NM,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,28.9,25.7,32.3,1491,,,,"$75,000 or greater"
2018,MS,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,32.9,28.1,38.1,552,25 - 34,,,
2018,NH,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,VA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,30.4,29.1,31.6,9517,,,,
2018,MS,Behavioral Risk Factor Surveillance System,Physical Activity,48.4,43.6,53.3,782,,,,"Less than $15,000"
2018,OK,Behavioral Risk Factor Surveillance System,Physical Activity,32.5,26.2,39.4,285,,,,
2018,RI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,29.6,18.3,44.2,78,,,,
2018,CA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.4,35.1,37.6,10856,,,,
2018,SC,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,34.1,31.7,36.6,2974,,High school graduate,,
2018,IA,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,35.1,32.3,38,1396,,,,"$50,000 - $74,999"
2018,NH,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,,,,
2018,US,Behavioral Risk Factor Surveillance System,Physical Activity,21.9,21.4,22.3,118147,,Some college or technical school,,
2018,CO,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,43.1,41.3,44.9,4115,,,Male,
2018,AL,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,36.6,33.7,39.6,1854,,High school graduate,,
2018,VI,Behavioral Risk Factor Surveillance System,Obesity / Weight Status,,,,,55 - 64,,,
